system has 32 processor(s). 
time elapsed: 18.208511 sec, perf: 13.729844 GFLOPS, cpu_id: 31
node07
system has 32 processor(s). 
time elapsed: 16.049904 sec, perf: 15.576417 GFLOPS, cpu_id: 13
time elapsed: 16.087590 sec, perf: 15.539929 GFLOPS, cpu_id: 31
time elapsed: 15.507825 sec, perf: 16.120894 GFLOPS, cpu_id: 4
time elapsed: 15.462928 sec, perf: 16.167701 GFLOPS, cpu_id: 22
time elapsed: 15.650257 sec, perf: 15.974178 GFLOPS, cpu_id: 1
time elapsed: 15.581872 sec, perf: 16.044286 GFLOPS, cpu_id: 5
time elapsed: 15.704656 sec, perf: 15.918846 GFLOPS, cpu_id: 29
time elapsed: 15.479935 sec, perf: 16.149938 GFLOPS, cpu_id: 8
time elapsed: 15.653415 sec, perf: 15.970956 GFLOPS, cpu_id: 14
time elapsed: 15.872668 sec, perf: 15.750345 GFLOPS, cpu_id: 18
time elapsed: 15.686763 sec, perf: 15.937003 GFLOPS, cpu_id: 16
time elapsed: 15.852500 sec, perf: 15.770383 GFLOPS, cpu_id: 28
time elapsed: 15.481671 sec, perf: 16.148128 GFLOPS, cpu_id: 0
time elapsed: 15.525080 sec, perf: 16.102976 GFLOPS, cpu_id: 15
time elapsed: 15.566445 sec, perf: 16.060186 GFLOPS, cpu_id: 20
time elapsed: 15.837732 sec, perf: 15.785089 GFLOPS, cpu_id: 12
time elapsed: 15.592447 sec, perf: 16.033404 GFLOPS, cpu_id: 10
time elapsed: 15.672911 sec, perf: 15.951089 GFLOPS, cpu_id: 6
time elapsed: 15.485123 sec, perf: 16.144527 GFLOPS, cpu_id: 23
time elapsed: 15.542335 sec, perf: 16.085099 GFLOPS, cpu_id: 9
time elapsed: 15.911471 sec, perf: 15.711935 GFLOPS, cpu_id: 24
time elapsed: 15.781831 sec, perf: 15.841001 GFLOPS, cpu_id: 2
time elapsed: 15.515905 sec, perf: 16.112499 GFLOPS, cpu_id: 11
time elapsed: 15.501893 sec, perf: 16.127063 GFLOPS, cpu_id: 19
time elapsed: 15.986092 sec, perf: 15.638594 GFLOPS, cpu_id: 25
time elapsed: 15.737493 sec, perf: 15.885630 GFLOPS, cpu_id: 3
time elapsed: 15.794221 sec, perf: 15.828575 GFLOPS, cpu_id: 26
time elapsed: 16.000123 sec, perf: 15.624880 GFLOPS, cpu_id: 30
time elapsed: 15.608954 sec, perf: 16.016448 GFLOPS, cpu_id: 21
