gpu01
system has 32 processor(s). 
time elapsed: 19.171049 sec, perf: 13.040497 GFLOPS, cpu_id: 31
time elapsed: 19.619501 sec, perf: 12.742424 GFLOPS, cpu_id: 20
time elapsed: 19.204751 sec, perf: 13.017612 GFLOPS, cpu_id: 30
time elapsed: 19.145725 sec, perf: 13.057746 GFLOPS, cpu_id: 14
time elapsed: 20.772750 sec, perf: 12.034998 GFLOPS, cpu_id: 7
time elapsed: 21.085340 sec, perf: 11.856579 GFLOPS, cpu_id: 16
time elapsed: 21.399670 sec, perf: 11.682423 GFLOPS, cpu_id: 13
time elapsed: 22.443431 sec, perf: 11.139117 GFLOPS, cpu_id: 24
gpu01
system has 32 processor(s). 
time elapsed: 18.544543 sec, perf: 13.481055 GFLOPS, cpu_id: 9
time elapsed: 18.536706 sec, perf: 13.486754 GFLOPS, cpu_id: 8
time elapsed: 19.662556 sec, perf: 12.714522 GFLOPS, cpu_id: 23
time elapsed: 18.977197 sec, perf: 13.173705 GFLOPS, cpu_id: 15
time elapsed: 18.980693 sec, perf: 13.171279 GFLOPS, cpu_id: 28
time elapsed: 19.016341 sec, perf: 13.146588 GFLOPS, cpu_id: 16
time elapsed: 19.045650 sec, perf: 13.126357 GFLOPS, cpu_id: 19
time elapsed: 18.980401 sec, perf: 13.171482 GFLOPS, cpu_id: 14
time elapsed: 19.043144 sec, perf: 13.128084 GFLOPS, cpu_id: 24
time elapsed: 19.025135 sec, perf: 13.140511 GFLOPS, cpu_id: 25
time elapsed: 19.020324 sec, perf: 13.143835 GFLOPS, cpu_id: 29
time elapsed: 19.191686 sec, perf: 13.026474 GFLOPS, cpu_id: 7
time elapsed: 19.060369 sec, perf: 13.116220 GFLOPS, cpu_id: 1
time elapsed: 19.118410 sec, perf: 13.076401 GFLOPS, cpu_id: 10
time elapsed: 19.112868 sec, perf: 13.080193 GFLOPS, cpu_id: 13
time elapsed: 19.286583 sec, perf: 12.962379 GFLOPS, cpu_id: 17
time elapsed: 19.193184 sec, perf: 13.025458 GFLOPS, cpu_id: 20
time elapsed: 19.127946 sec, perf: 13.069882 GFLOPS, cpu_id: 6
time elapsed: 19.347374 sec, perf: 12.921650 GFLOPS, cpu_id: 4
time elapsed: 19.220039 sec, perf: 13.007258 GFLOPS, cpu_id: 30
time elapsed: 19.614695 sec, perf: 12.745546 GFLOPS, cpu_id: 18
time elapsed: 19.347324 sec, perf: 12.921684 GFLOPS, cpu_id: 21
time elapsed: 19.465898 sec, perf: 12.842973 GFLOPS, cpu_id: 0
time elapsed: 19.225588 sec, perf: 13.003503 GFLOPS, cpu_id: 5
time elapsed: 19.556390 sec, perf: 12.783545 GFLOPS, cpu_id: 27
time elapsed: 19.306859 sec, perf: 12.948766 GFLOPS, cpu_id: 3
time elapsed: 19.571268 sec, perf: 12.773827 GFLOPS, cpu_id: 22
time elapsed: 19.494796 sec, perf: 12.823935 GFLOPS, cpu_id: 12
time elapsed: 19.486841 sec, perf: 12.829170 GFLOPS, cpu_id: 26
time elapsed: 19.356435 sec, perf: 12.915602 GFLOPS, cpu_id: 2
time elapsed: 19.729841 sec, perf: 12.671162 GFLOPS, cpu_id: 11
time elapsed: 19.457479 sec, perf: 12.848530 GFLOPS, cpu_id: 31
gpu03
system has 32 processor(s). 
time elapsed: 16.743565 sec, perf: 14.931109 GFLOPS, cpu_id: 30
time elapsed: 16.139319 sec, perf: 15.490121 GFLOPS, cpu_id: 5
time elapsed: 16.148413 sec, perf: 15.481398 GFLOPS, cpu_id: 10
