system has 32 processor(s). 
time elapsed: 15.950198 sec, perf: 15.673787 GFLOPS, cpu_id: 21
time elapsed: 15.966636 sec, perf: 15.657650 GFLOPS, cpu_id: 23
time elapsed: 16.213835 sec, perf: 15.418931 GFLOPS, cpu_id: 4
time elapsed: 16.032386 sec, perf: 15.593437 GFLOPS, cpu_id: 20
time elapsed: 16.037160 sec, perf: 15.588795 GFLOPS, cpu_id: 8
time elapsed: 15.725884 sec, perf: 15.897358 GFLOPS, cpu_id: 27
time elapsed: 16.205133 sec, perf: 15.427210 GFLOPS, cpu_id: 10
time elapsed: 16.020310 sec, perf: 15.605192 GFLOPS, cpu_id: 22
time elapsed: 16.216838 sec, perf: 15.416076 GFLOPS, cpu_id: 14
node07
system has 32 processor(s). 
time elapsed: 15.711567 sec, perf: 15.911844 GFLOPS, cpu_id: 4
time elapsed: 15.532383 sec, perf: 16.095405 GFLOPS, cpu_id: 1
time elapsed: 15.444495 sec, perf: 16.186998 GFLOPS, cpu_id: 2
time elapsed: 15.492181 sec, perf: 16.137173 GFLOPS, cpu_id: 14
time elapsed: 15.587595 sec, perf: 16.038394 GFLOPS, cpu_id: 13
time elapsed: 15.473312 sec, perf: 16.156851 GFLOPS, cpu_id: 22
time elapsed: 15.444047 sec, perf: 16.187467 GFLOPS, cpu_id: 8
time elapsed: 15.608751 sec, perf: 16.016656 GFLOPS, cpu_id: 28
time elapsed: 15.753859 sec, perf: 15.869128 GFLOPS, cpu_id: 12
time elapsed: 15.525611 sec, perf: 16.102426 GFLOPS, cpu_id: 18
time elapsed: 15.448212 sec, perf: 16.183103 GFLOPS, cpu_id: 9
time elapsed: 15.697055 sec, perf: 15.926554 GFLOPS, cpu_id: 25
time elapsed: 15.768929 sec, perf: 15.853962 GFLOPS, cpu_id: 20
time elapsed: 15.579727 sec, perf: 16.046495 GFLOPS, cpu_id: 19
time elapsed: 15.451958 sec, perf: 16.179179 GFLOPS, cpu_id: 11
time elapsed: 15.610188 sec, perf: 16.015182 GFLOPS, cpu_id: 0
time elapsed: 15.596218 sec, perf: 16.029527 GFLOPS, cpu_id: 17
time elapsed: 15.853544 sec, perf: 15.769345 GFLOPS, cpu_id: 16
time elapsed: 15.620833 sec, perf: 16.004268 GFLOPS, cpu_id: 27
time elapsed: 15.770633 sec, perf: 15.852249 GFLOPS, cpu_id: 7
time elapsed: 15.509974 sec, perf: 16.118661 GFLOPS, cpu_id: 15
time elapsed: 15.525333 sec, perf: 16.102714 GFLOPS, cpu_id: 21
time elapsed: 15.588875 sec, perf: 16.037078 GFLOPS, cpu_id: 29
time elapsed: 15.621610 sec, perf: 16.003472 GFLOPS, cpu_id: 26
time elapsed: 15.494268 sec, perf: 16.134999 GFLOPS, cpu_id: 23
time elapsed: 15.745267 sec, perf: 15.877788 GFLOPS, cpu_id: 6
time elapsed: 15.488581 sec, perf: 16.140923 GFLOPS, cpu_id: 3
time elapsed: 15.572876 sec, perf: 16.053553 GFLOPS, cpu_id: 30
time elapsed: 15.874580 sec, perf: 15.748449 GFLOPS, cpu_id: 5
time elapsed: 15.726491 sec, perf: 15.896743 GFLOPS, cpu_id: 24
time elapsed: 15.909024 sec, perf: 15.714352 GFLOPS, cpu_id: 31
time elapsed: 15.912757 sec, perf: 15.710665 GFLOPS, cpu_id: 10
node07
system has 32 processor(s). 
time elapsed: 15.642687 sec, perf: 15.981909 GFLOPS, cpu_id: 21
time elapsed: 15.510658 sec, perf: 16.117950 GFLOPS, cpu_id: 4
time elapsed: 15.568725 sec, perf: 16.057834 GFLOPS, cpu_id: 11
time elapsed: 15.536764 sec, perf: 16.090867 GFLOPS, cpu_id: 8
time elapsed: 15.799932 sec, perf: 15.822853 GFLOPS, cpu_id: 10
time elapsed: 15.777913 sec, perf: 15.844935 GFLOPS, cpu_id: 9
time elapsed: 15.581966 sec, perf: 16.044188 GFLOPS, cpu_id: 20
