time elapsed: 16.385246 sec, perf: 15.257628 GFLOPS, cpu_id: 10
time elapsed: 15.779325 sec, perf: 15.843517 GFLOPS, cpu_id: 5
time elapsed: 15.809625 sec, perf: 15.813152 GFLOPS, cpu_id: 2
time elapsed: 16.139363 sec, perf: 15.490078 GFLOPS, cpu_id: 23
time elapsed: 16.955658 sec, perf: 14.744341 GFLOPS, cpu_id: 3
time elapsed: 16.249100 sec, perf: 15.385467 GFLOPS, cpu_id: 21
time elapsed: 15.370380 sec, perf: 16.265050 GFLOPS, cpu_id: 30
time elapsed: 15.275331 sec, perf: 16.366257 GFLOPS, cpu_id: 13
time elapsed: 15.792745 sec, perf: 15.830053 GFLOPS, cpu_id: 4
time elapsed: 15.543352 sec, perf: 16.084046 GFLOPS, cpu_id: 0
time elapsed: 15.614595 sec, perf: 16.010661 GFLOPS, cpu_id: 18
time elapsed: 15.724444 sec, perf: 15.898813 GFLOPS, cpu_id: 19
time elapsed: 15.732641 sec, perf: 15.890530 GFLOPS, cpu_id: 16
time elapsed: 15.798115 sec, perf: 15.824673 GFLOPS, cpu_id: 5
time elapsed: 15.642358 sec, perf: 15.982245 GFLOPS, cpu_id: 3
time elapsed: 15.569564 sec, perf: 16.056969 GFLOPS, cpu_id: 7
time elapsed: 15.844334 sec, perf: 15.778511 GFLOPS, cpu_id: 9
time elapsed: 15.517093 sec, perf: 16.111266 GFLOPS, cpu_id: 17
time elapsed: 15.578941 sec, perf: 16.047304 GFLOPS, cpu_id: 23
time elapsed: 15.601574 sec, perf: 16.024025 GFLOPS, cpu_id: 22
time elapsed: 15.943643 sec, perf: 15.680231 GFLOPS, cpu_id: 26
time elapsed: 15.982386 sec, perf: 15.642221 GFLOPS, cpu_id: 2
time elapsed: 15.645884 sec, perf: 15.978644 GFLOPS, cpu_id: 8
time elapsed: 15.537574 sec, perf: 16.090028 GFLOPS, cpu_id: 15
time elapsed: 15.572686 sec, perf: 16.053750 GFLOPS, cpu_id: 1
time elapsed: 15.942953 sec, perf: 15.680909 GFLOPS, cpu_id: 25
time elapsed: 15.876741 sec, perf: 15.746305 GFLOPS, cpu_id: 24
time elapsed: 16.318521 sec, perf: 15.320016 GFLOPS, cpu_id: 21
time elapsed: 16.171864 sec, perf: 15.458948 GFLOPS, cpu_id: 11
time elapsed: 16.358303 sec, perf: 15.282759 GFLOPS, cpu_id: 10
time elapsed: 16.187075 sec, perf: 15.444421 GFLOPS, cpu_id: 28
time elapsed: 15.841622 sec, perf: 15.781212 GFLOPS, cpu_id: 12
time elapsed: 16.417387 sec, perf: 15.227759 GFLOPS, cpu_id: 31
time elapsed: 16.892154 sec, perf: 14.799770 GFLOPS, cpu_id: 27
time elapsed: 16.269430 sec, perf: 15.366242 GFLOPS, cpu_id: 14
time elapsed: 16.568688 sec, perf: 15.088702 GFLOPS, cpu_id: 20
time elapsed: 17.126674 sec, perf: 14.597113 GFLOPS, cpu_id: 29
time elapsed: 16.385545 sec, perf: 15.257351 GFLOPS, cpu_id: 6
time elapsed: 19.303172 sec, perf: 12.951239 GFLOPS, cpu_id: 23
time elapsed: 19.051607 sec, perf: 13.122253 GFLOPS, cpu_id: 3
time elapsed: 18.956383 sec, perf: 13.188170 GFLOPS, cpu_id: 18
time elapsed: 18.967486 sec, perf: 13.180450 GFLOPS, cpu_id: 14
time elapsed: 18.995917 sec, perf: 13.160723 GFLOPS, cpu_id: 22
time elapsed: 19.017536 sec, perf: 13.145762 GFLOPS, cpu_id: 10
time elapsed: 19.324561 sec, perf: 12.936904 GFLOPS, cpu_id: 7
time elapsed: 18.989144 sec, perf: 13.165417 GFLOPS, cpu_id: 30
time elapsed: 18.961737 sec, perf: 13.184446 GFLOPS, cpu_id: 12
time elapsed: 19.063755 sec, perf: 13.113891 GFLOPS, cpu_id: 24
time elapsed: 18.962293 sec, perf: 13.184060 GFLOPS, cpu_id: 15
time elapsed: 19.093989 sec, perf: 13.093126 GFLOPS, cpu_id: 8
time elapsed: 19.009130 sec, perf: 13.151575 GFLOPS, cpu_id: 29
time elapsed: 19.236235 sec, perf: 12.996306 GFLOPS, cpu_id: 27
time elapsed: 19.027577 sec, perf: 13.138825 GFLOPS, cpu_id: 0
time elapsed: 19.108889 sec, perf: 13.082917 GFLOPS, cpu_id: 4
time elapsed: 19.084561 sec, perf: 13.099594 GFLOPS, cpu_id: 19
time elapsed: 18.988462 sec, perf: 13.165890 GFLOPS, cpu_id: 28
time elapsed: 19.264242 sec, perf: 12.977412 GFLOPS, cpu_id: 2
time elapsed: 19.115429 sec, perf: 13.078440 GFLOPS, cpu_id: 17
time elapsed: 19.259148 sec, perf: 12.980844 GFLOPS, cpu_id: 20
time elapsed: 19.286542 sec, perf: 12.962406 GFLOPS, cpu_id: 25
time elapsed: 19.121853 sec, perf: 13.074046 GFLOPS, cpu_id: 16
time elapsed: 19.094727 sec, perf: 13.092619 GFLOPS, cpu_id: 26
time elapsed: 19.484963 sec, perf: 12.830406 GFLOPS, cpu_id: 13
time elapsed: 19.385526 sec, perf: 12.896220 GFLOPS, cpu_id: 1
time elapsed: 19.530271 sec, perf: 12.800642 GFLOPS, cpu_id: 11
time elapsed: 19.118745 sec, perf: 13.076172 GFLOPS, cpu_id: 9
time elapsed: 19.363387 sec, perf: 12.910964 GFLOPS, cpu_id: 21
time elapsed: 19.139507 sec, perf: 13.061987 GFLOPS, cpu_id: 31
time elapsed: 19.556243 sec, perf: 12.783641 GFLOPS, cpu_id: 6
time elapsed: 19.402900 sec, perf: 12.884672 GFLOPS, cpu_id: 5
time elapsed: 18.913116 sec, perf: 13.218340 GFLOPS, cpu_id: 5
time elapsed: 18.664525 sec, perf: 13.394394 GFLOPS, cpu_id: 8
time elapsed: 18.965035 sec, perf: 13.182153 GFLOPS, cpu_id: 0
time elapsed: 19.010174 sec, perf: 13.150853 GFLOPS, cpu_id: 14
time elapsed: 19.175037 sec, perf: 13.037785 GFLOPS, cpu_id: 7
time elapsed: 18.971187 sec, perf: 13.177879 GFLOPS, cpu_id: 27
time elapsed: 19.369615 sec, perf: 12.906813 GFLOPS, cpu_id: 13
time elapsed: 18.995946 sec, perf: 13.160703 GFLOPS, cpu_id: 17
time elapsed: 19.043725 sec, perf: 13.127684 GFLOPS, cpu_id: 24
time elapsed: 19.153252 sec, perf: 13.052614 GFLOPS, cpu_id: 31
time elapsed: 18.965366 sec, perf: 13.181923 GFLOPS, cpu_id: 26
time elapsed: 19.484064 sec, perf: 12.830998 GFLOPS, cpu_id: 19
time elapsed: 19.162327 sec, perf: 13.046432 GFLOPS, cpu_id: 6
time elapsed: 19.047720 sec, perf: 13.124930 GFLOPS, cpu_id: 3
time elapsed: 19.000976 sec, perf: 13.157219 GFLOPS, cpu_id: 16
time elapsed: 19.069550 sec, perf: 13.109906 GFLOPS, cpu_id: 2
time elapsed: 19.340488 sec, perf: 12.926251 GFLOPS, cpu_id: 22
time elapsed: 19.016354 sec, perf: 13.146579 GFLOPS, cpu_id: 23
time elapsed: 18.987654 sec, perf: 13.166450 GFLOPS, cpu_id: 29
time elapsed: 19.497563 sec, perf: 12.822116 GFLOPS, cpu_id: 25
time elapsed: 19.318196 sec, perf: 12.941167 GFLOPS, cpu_id: 4
time elapsed: 19.207641 sec, perf: 13.015653 GFLOPS, cpu_id: 11
time elapsed: 19.327461 sec, perf: 12.934963 GFLOPS, cpu_id: 30
time elapsed: 19.506042 sec, perf: 12.816542 GFLOPS, cpu_id: 9
time elapsed: 19.009939 sec, perf: 13.151015 GFLOPS, cpu_id: 10
time elapsed: 19.381477 sec, perf: 12.898914 GFLOPS, cpu_id: 12
time elapsed: 19.048601 sec, perf: 13.124323 GFLOPS, cpu_id: 18
time elapsed: 19.239900 sec, perf: 12.993831 GFLOPS, cpu_id: 1
time elapsed: 19.531294 sec, perf: 12.799971 GFLOPS, cpu_id: 20
time elapsed: 19.402764 sec, perf: 12.884762 GFLOPS, cpu_id: 21
time elapsed: 19.529142 sec, perf: 12.801382 GFLOPS, cpu_id: 15
time elapsed: 19.492499 sec, perf: 12.825446 GFLOPS, cpu_id: 28
time elapsed: 18.641503 sec, perf: 13.410936 GFLOPS, cpu_id: 21
time elapsed: 18.614659 sec, perf: 13.430276 GFLOPS, cpu_id: 2
time elapsed: 19.202844 sec, perf: 13.018905 GFLOPS, cpu_id: 30
time elapsed: 19.311381 sec, perf: 12.945734 GFLOPS, cpu_id: 1
